,handicapped_infants_n,handicapped_infants_y,water_project_cost_sharing_n,water_project_cost_sharing_y,adoption_of_the_budget_resolution_n,adoption_of_the_budget_resolution_y,physician_fee_freeze_n,physician_fee_freeze_y,el_salvador_aid_n,el_salvador_aid_y,religious_groups_in_schools_n,religious_groups_in_schools_y,anti_satellite_test_ban_n,anti_satellite_test_ban_y,aid_to_nicaraguan_contras_n,aid_to_nicaraguan_contras_y,mx_missile_n,mx_missile_y,immigration_n,immigration_y,synfuels_corporation_cutback_n,synfuels_corporation_cutback_y,education_spending_n,education_spending_y,superfund_right_to_sue_n,superfund_right_to_sue_y,crime_n,crime_y,duty_free_exports_n,duty_free_exports_y,export_administration_act_south_africa_n,export_administration_act_south_africa_y,cluster
"{'crime_y', 'religious_groups_in_schools_y', 'superfund_right_to_sue_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,0
"{'crime_y', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}",False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1
"{'synfuels_corporation_cutback_n', 'physician_fee_freeze_y', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n'}",False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
"{'crime_y', 'education_spending_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1
"{'education_spending_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1
"{'crime_y', 'education_spending_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1
"{'synfuels_corporation_cutback_n', 'education_spending_y', 'mx_missile_n', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0
"{'synfuels_corporation_cutback_n', 'religious_groups_in_schools_y', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
"{'duty_free_exports_n', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}",False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1
"{'synfuels_corporation_cutback_n', 'aid_to_nicaraguan_contras_n', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
"{'synfuels_corporation_cutback_n', 'aid_to_nicaraguan_contras_n', 'el_salvador_aid_y', 'physician_fee_freeze_y'}",False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
